1	-3.58501
2	-3.21684
3	-3.03450
4	-3.02999
5	-3.20342
6	-3.56181
7	-4.12151
8	-4.91034
9	-5.97460
10	-7.39264
11	-9.30450
12	-11.99678
13	-16.20028
14	-25.13625
15	-26.87447
16	-16.76964
17	-12.32901
18	-9.53183
19	-7.55812
20	-6.09835
21	-5.00321
22	-4.18951
23	-3.60827
24	-3.23067
25	-3.03939
26	-3.02624
27	-3.19039
28	-3.53947
29	-4.08834
30	-4.86474
31	-5.91364
32	-7.31107
33	-9.19379
34	-11.83583
35	-15.92901
36	-24.38447
37	-27.89752
38	-17.07085
39	-12.50170
40	-9.64857
41	-7.64269
42	-6.16224
43	-5.05096
44	-4.22436
45	-3.63240
46	-3.24530
47	-3.04466
48	-3.02248
49	-3.17816
50	-3.51719
51	-4.05572
52	-4.81984
53	-5.85363
54	-7.23148
55	-9.08447
56	-11.67781
57	-15.66595
58	-23.68856
59	-29.05736
60	-17.38289
61	-12.67674
62	-9.76690
63	-7.72874
64	-6.22660
65	-5.09898
66	-4.25978
67	-3.65700
68	-3.25995
69	-3.05068
70	-3.01948
71	-3.16594
72	-3.49575
73	-4.02365
74	-4.77563
75	-5.79454
76	-7.15261
77	-8.97726
78	-11.52361
79	-15.41219
80	-23.04805
81	-30.39629
82	-17.70655
83	-12.85655
84	-9.88769
85	-7.81631
86	-6.29144
87	-5.14823
88	-4.29578
89	-3.68207
90	-3.27539
91	-3.05671
92	-3.01685
93	-3.15449
94	-3.47477
95	-3.99211
96	-4.73210
97	-5.73637
98	-7.07505
99	-8.87209
100	-11.37210
