10 10
10 10
5 86 54 30 51 22 25 8 64 98
70 10 54 64 65 38 95 51 42 52
39 87 90 79 31 10 29 36 78 49
32 51 94 30 19 6 64 48 70 82
53 45 9 47 22 59 95 36 92 98
36 9 67 20 91 82 100 4 59 15
39 34 78 56 99 68 30 9 100 76
57 18 53 77 21 10 81 23 48 63
17 70 4 47 91 49 19 58 30 26
70 97 49 100 79 67 18 69 52 79
22 17 41 6 62 75 48 51 8 11
61 23 23 29 57 67 76 80 19 75
23 63 14 34 66 81 47 6 9 26
82 99 5 34 51 37 57 82 86 85
86 49 21 30 8 46 50 78 88 67
49 70 10 61 7 28 87 40 31 11
88 87 96 60 69 79 43 49 32 1
53 96 64 42 98 84 32 81 40 95
58 22 36 80 67 15 25 56 26 5
86 66 6 93 36 57 85 13 47 31
