100 100
100 100
44 39 36 61 60 44 99 2 97 13 97 86 1 97 79 3 51 26 56 20 24 87 83 15 34 53 24 40 100 86 34 48 93 37 29 46 10 82 63 58 68 5 34 62 9 77 61 90 36 81 62 66 69 75 61 94 2 88 8 63 3 36 24 59 37 28 63 52 37 65 85 30 82 4 18 45 68 87 27 46 100 73 11 34 45 84 38 11 37 39 17 40 48 76 38 71 74 82 78 69
77 33 59 22 83 84 41 59 93 98 62 2 37 34 96 34 78 17 79 21 34 88 71 34 76 39 60 53 83 50 15 59 79 17 41 89 55 13 14 40 73 65 53 80 59 85 47 95 13 95 67 1 64 21 40 43 6 5 66 52 25 55 92 90 49 60 20 69 41 61 84 94 14 32 47 11 92 56 51 47 61 84 91 91 77 52 44 29 61 81 20 81 19 16 37 98 45 58 15 76
91 43 36 38 87 67 64 95 5 88 17 56 73 19 33 86 86 84 84 79 87 47 20 77 54 99 64 43 7 9 1 16 4 19 94 12 8 59 48 98 6 37 25 96 8 5 27 84 87 27 5 29 36 90 76 17 21 41 56 51 34 89 33 99 49 94 45 39 79 85 88 40 84 61 40 13 32 84 51 81 20 63 77 24 92 49 81 92 10 19 32 96 10 48 100 9 15 85 61 61
52 50 59 40 70 46 26 35 52 34 30 85 33 78 89 24 10 53 31 51 28 83 68 99 76 54 18 60 86 10 53 91 2 78 100 47 96 63 43 35 34 16 68 65 47 88 56 8 3 39 9 81 48 22 13 31 45 63 94 36 68 10 9 57 35 9 17 65 27 17 6 94 35 58 96 64 47 65 73 64 80 63 95 55 69 62 27 57 47 90 56 21 6 35 70 35 33 57 36 97
77 72 31 95 72 68 65 37 64 93 9 31 7 3 27 86 9 83 66 70 9 54 80 59 48 59 64 80 40 83 14 62 56 61 42 98 57 93 19 72 38 92 33 93 83 24 42 67 2 4 62 19 61 44 63 6 82 99 50 95 21 57 87 97 35 57 46 76 53 90 62 53 14 68 32 23 69 70 86 10 67 6 11 74 12 50 94 17 26 17 31 87 8 80 31 68 79 21 42 37
86 45 48 88 4 44 68 52 56 77 99 56 89 63 39 3 79 33 4 86 63 4 67 53 87 35 72 15 44 88 8 2 68 96 37 70 15 33 46 59 98 66 67 45 71 69 20 86 17 42 96 75 29 76 9 39 29 35 5 75 87 63 22 9 52 73 98 2 96 50 39 80 90 50 51 64 86 53 97 21 48 85 42 98 86 83 46 35 86 67 9 47 27 71 14 55 31 74 97 85
44 54 23 45 50 66 59 60 7 45 41 69 58 7 84 87 28 28 72 35 43 90 16 59 30 16 82 44 19 78 20 37 98 75 12 99 62 61 21 65 20 8 71 31 81 57 66 35 24 24 25 65 26 54 38 80 55 72 96 83 35 53 31 31 44 95 55 100 55 85 38 17 95 61 40 37 95 93 11 28 31 67 22 54 22 45 55 57 34 62 22 23 80 99 78 34 77 70 99 32
6 66 82 56 93 26 54 39 22 74 66 7 36 31 14 66 73 85 35 27 96 42 36 100 33 95 73 51 68 6 74 68 89 92 12 30 12 85 6 89 44 53 72 38 4 48 13 92 52 64 16 65 6 21 86 42 14 6 32 78 75 12 85 95 75 25 47 64 97 18 64 84 100 39 14 11 15 40 20 70 85 63 97 5 6 22 13 85 23 98 11 40 36 54 71 11 71 75 71 75
34 72 94 38 6 58 58 45 52 63 42 10 38 93 8 75 73 82 59 32 35 31 89 68 38 25 6 34 51 91 6 64 73 66 17 10 79 37 94 54 40 44 23 91 21 69 45 28 33 28 100 20 54 12 43 34 19 9 8 61 8 62 95 8 92 77 11 9 60 74 65 3 37 6 86 42 45 51 12 7 99 88 60 79 40 32 8 100 6 87 54 23 42 43 65 85 42 99 94 18
50 47 19 90 76 24 47 13 6 75 64 29 60 69 53 70 22 24 46 18 76 51 26 28 22 22 52 61 11 10 63 64 98 73 1 57 62 98 28 45 8 69 52 60 8 95 9 7 65 50 84 70 52 78 32 97 90 69 55 52 14 96 82 11 92 4 25 31 63 55 94 43 71 90 54 3 68 43 71 59 42 29 5 59 78 47 31 71 32 84 12 92 6 92 82 30 63 43 77 22
