100 100 
100 50
48 54 85 53 10 38 37 49 31 6 89 24 59 75 29 60 28 65 99 90 72 72 14 39 90 59 36 50 16 17 68 84 44 21 88 95 59 60 16 85 65 56 13 20 22 84 44 63 93 15 99 2 80 68 52 39 63 58 94 58 32 14 81 57 93 64 15 97 99 3 29 43 48 16 49 3 88 24 20 100 40 53 59 3 75 28 87 10 9 85 100 16 25 35 21 87 4 40 51 42
28 43 44 49 98 64 68 17 35 75 70 65 10 29 3 30 16 91 15 43 97 52 47 90 47 64 53 6 98 76 7 56 40 7 11 68 52 24 43 14 98 71 45 48 34 31 77 40 39 58 75 5 75 56 1 16 7 12 89 61 19 78 54 29 3 85 67 88 50 96 97 12 86 34 66 73 60 68 6 42 8 94 87 49 91 76 96 27 26 42 29 23 60 44 27 74 97 3 31 11
53 53 36 25 85 100 65 95 86 27 75 21 60 88 19 13 94 11 36 27 90 27 32 64 69 95 37 40 68 93 64 93 50 13 54 6 40 48 77 98 87 49 28 51 95 40 23 41 24 79 53 64 87 12 5 63 64 9 59 14 17 91 22 23 49 15 26 96 86 34 83 5 49 87 35 82 42 50 20 31 49 7 78 35 44 28 2 11 39 7 9 26 58 97 94 8 33 92 20 70
47 56 34 54 12 33 45 96 95 46 66 66 81 6 65 48 4 12 16 79 22 59 4 88 38 45 61 22 20 50 57 49 9 65 48 95 20 52 30 47 76 79 3 42 20 20 3 7 73 73 5 20 82 55 92 36 76 96 66 6 21 30 30 65 21 16 19 85 87 86 26 56 7 27 71 12 18 96 25 95 28 50 73 80 33 100 88 67 7 89 83 34 42 94 95 84 5 61 60 85
73 53 46 8 92 67 55 30 3 34 39 43 95 100 22 82 52 58 82 30 23 50 68 17 99 58 80 83 64 43 37 46 59 86 25 6 28 31 52 61 35 47 77 17 19 33 84 99 68 26 30 62 24 58 37 39 44 72 63 54 72 18 83 48 21 8 49 66 85 7 55 16 52 67 73 38 9 75 35 59 48 20 13 68 43 1 52 99 32 1 3 18 29 52 8 79 78 82 82 65
23 69 39 6 26 16 3 87 17 28 64 57 26 79 6 3 8 63 93 21 71 10 57 70 60 43 49 55 24 81 14 54 73 18 54 4 70 78 91 100 35 2 85 6 53 26 96 54 53 32 65 47 17 38 57 100 73 24 11 59 62 30 2 55 51 46 71 95 96 7 83 30 1 48 24 59 79 8 36 6 47 80 10 86 19 22 6 11 83 9 88 29 57 95 59 18 1 91 90 89
60 72 59 31 94 45 39 28 32 41 1 8 77 60 67 66 46 73 75 67 37 28 94 31 40 86 52 62 84 30 95 80 30 37 70 27 37 16 39 21 14 73 98 35 64 89 65 50 7 28 28 29 54 69 47 57 99 1 75 97 20 3 3 8 85 74 33 15 73 72 13 17 59 46 42 80 76 68 2 88 2 92 21 36 16 71 64 100 46 54 62 15 74 86 97 16 5 99 47 99
53 78 90 58 67 64 46 51 55 85 6 93 85 9 61 82 49 8 80 43 19 18 42 5 66 72 49 1 10 60 98 27 66 54 16 11 61 14 61 38 78 50 62 28 12 94 51 82 51 18 42 82 89 31 27 95 13 54 90 28 92 56 10 47 93 40 79 18 9 54 48 15 7 14 58 3 3 15 12 61 54 32 79 17 16 69 78 79 82 50 67 23 48 19 77 17 6 14 30 49
41 54 85 57 51 93 75 87 86 5 19 6 70 93 49 24 49 80 49 50 58 82 81 29 64 77 97 98 92 8 12 10 19 74 44 90 6 55 29 1 86 78 39 23 66 71 51 19 90 48 93 36 60 22 76 48 27 35 37 95 24 63 80 44 21 16 21 33 27 27 90 23 65 16 45 92 34 83 67 13 84 17 56 61 83 77 30 3 84 32 85 93 72 55 6 80 86 8 8 43
42 64 95 56 33 45 52 10 43 58 35 70 51 95 68 89 64 42 37 93 93 83 60 43 45 97 54 19 70 74 65 12 10 95 33 33 19 2 17 57 82 56 80 25 29 59 22 40 38 3 32 51 82 25 50 13 15 7 77 1 13 94 68 44 44 89 62 51 45 44 75 86 54 91 76 61 14 72 3 73 93 46 65 89 39 47 58 16 17 17 68 86 27 1 64 37 69 87 55 45
